(671, '1485716087115296768', '784181449926778880', '$QQQ', datetime.datetime(2022, 1, 24, 20, 48, 13))
(247, '1484032905878081539', '1304117540034027520', '$jewel', datetime.datetime(2022, 1, 20, 5, 19, 51))
(248, '1484242863915511809', '1462513028679806982', '$LOOKS', datetime.datetime(2022, 1, 20, 19, 14, 9))
(249, '1485270098696982530', '1375406009318014979', '$ada', datetime.datetime(2022, 1, 23, 15, 16, 1))
(250, '1484860705161555972', '1375406009318014979', '$ada', datetime.datetime(2022, 1, 22, 12, 9, 14))
(251, '1484858018986696708', '1375406009318014979', '$ada', datetime.datetime(2022, 1, 22, 11, 58, 33))
(252, '1484618461812867073', '1375406009318014979', '$ada', datetime.datetime(2022, 1, 21, 20, 6, 38))
(253, '1484613790553542660', '1375406009318014979', '$CardanoPolice', datetime.datetime(2022, 1, 21, 19, 48, 5))
(254, '1484533535193108480', '1375406009318014979', '$adax', datetime.datetime(2022, 1, 21, 14, 29, 10))
(255, '1484277360937611274', '1375406009318014979', '$ada', datetime.datetime(2022, 1, 20, 21, 31, 14))
(256, '1483655957800488961', '1375406009318014979', '$dana', datetime.datetime(2022, 1, 19, 4, 21, 59))
(1983, '1483622655169208327', '1359776850579312642', '$ALPACA', datetime.datetime(2022, 1, 19, 2, 9, 40))
(258, '1484806740550074370', '281645478', '$JEWEL', datetime.datetime(2022, 1, 22, 8, 34, 47))
(259, '1484689101504798723', '281645478', '$jewel', datetime.datetime(2022, 1, 22, 0, 47, 20))
(260, '1484647956447911938', '281645478', '$jewel', datetime.datetime(2022, 1, 21, 22, 3, 50))
(261, '1484608848459710465', '281645478', '$SOL', datetime.datetime(2022, 1, 21, 19, 28, 26))
(262, '1484410134927450112', '281645478', '$jewel', datetime.datetime(2022, 1, 21, 6, 18, 49))
(263, '1484326583712174081', '281645478', '$JEWEL', datetime.datetime(2022, 1, 21, 0, 46, 49))
(264, '1484215359934709760', '281645478', '$jewel', datetime.datetime(2022, 1, 20, 17, 24, 51))
(265, '1484200394524098563', '281645478', '$JEWEL', datetime.datetime(2022, 1, 20, 16, 25, 23))
(266, '1484063505183563778', '281645478', '$JEWEL', datetime.datetime(2022, 1, 20, 7, 21, 26))
(267, '1484044265273573377', '281645478', '$JEWEL', datetime.datetime(2022, 1, 20, 6, 4, 59))
(268, '1484031065152970758', '281645478', '$JEWEL', datetime.datetime(2022, 1, 20, 5, 12, 32))
(269, '1483711226928672772', '281645478', '$jewel', datetime.datetime(2022, 1, 19, 8, 1, 37))
(270, '1483635454079557633', '281645478', '$JEWEL', datetime.datetime(2022, 1, 19, 3, 0, 31))
(271, '1483610390609244160', '281645478', '$LUMEN', datetime.datetime(2022, 1, 19, 1, 20, 55))
(272, '1484628935811993604', '1466406737393729542', '$owl', datetime.datetime(2022, 1, 21, 20, 48, 16))
(273, '1484628056685826053', '1466406737393729542', '$cope', datetime.datetime(2022, 1, 21, 20, 44, 46))
(274, '1483824156487598080', '1466406737393729542', '$looks', datetime.datetime(2022, 1, 19, 15, 30, 21))
(275, '1483822988566962177', '1466406737393729542', '$weth', datetime.datetime(2022, 1, 19, 15, 25, 43))
(276, '1483822830546558979', '1466406737393729542', '$looks', datetime.datetime(2022, 1, 19, 15, 25, 5))
(277, '1483822007372427272', '1466406737393729542', '$looks', datetime.datetime(2022, 1, 19, 15, 21, 49))
(278, '1483820348650967044', '1466406737393729542', '$looks', datetime.datetime(2022, 1, 19, 15, 15, 13))
(279, '1483553804855529475', '1466406737393729542', '$looks', datetime.datetime(2022, 1, 18, 21, 36, 4))
(280, '1483552842807980035', '1466406737393729542', '$looks', datetime.datetime(2022, 1, 18, 21, 32, 15))
(281, '1484527784055693314', '2916102064', '$ALEPH', datetime.datetime(2022, 1, 21, 14, 6, 19))
(282, '1484527288574263307', '2916102064', '$SCRT', datetime.datetime(2022, 1, 21, 14, 4, 21))
(283, '1484110587609194498', '1370306932356042755', '$JEWEL', datetime.datetime(2022, 1, 20, 10, 28, 32))
(284, '1483955847726256129', '1370306932356042755', '$JEWEL', datetime.datetime(2022, 1, 20, 0, 13, 39))
(285, '1483412554001133574', '1370306932356042755', '$JEWEL', datetime.datetime(2022, 1, 18, 12, 14, 48))
(673, '1485837972763201538', '1355293004119109633', '$THOUSANDS', datetime.datetime(2022, 1, 25, 4, 52, 32))
(287, '1485678550451695625', '1449031217991467010', '$JEWEL', datetime.datetime(2022, 1, 24, 18, 19, 3))
(288, '1483508551322636294', '1449031217991467010', '$Fantom', datetime.datetime(2022, 1, 18, 18, 36, 15))
(289, '1485835500011376642', '299633340', '$BTC', datetime.datetime(2022, 1, 25, 4, 42, 43))
(290, '1485792087555686403', '299633340', '$FPI', datetime.datetime(2022, 1, 25, 1, 50, 13))
(291, '1485791326218170371', '299633340', '$LUNA', datetime.datetime(2022, 1, 25, 1, 47, 11))
(674, '1485449444891840512', '1210862682678497282', '$shdw', datetime.datetime(2022, 1, 24, 3, 8, 40))
(293, '1485686718711881745', '1384771192960143362', '$OHM', datetime.datetime(2022, 1, 24, 18, 51, 31))
(294, '1484825631024205826', '1384771192960143362', '$FRAX', datetime.datetime(2022, 1, 22, 9, 49, 51))
(295, '1484293037891198976', '1384771192960143362', '$UST', datetime.datetime(2022, 1, 20, 22, 33, 31))
